ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
637615;875;DOLGA BRDA;PREVALJE;236;1;;;1;;;;;;13;1950;1;;;23;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;22,7;22,7; kmetijski prostor;;
638499;2357;IDRIJA MESTO;IDRIJA;582;20;;;1;IDRIJA;KOSOVELOVA ULICA;39;;10;2;1860;1;;;36;1/1;;;;;;;;2 - Stanovanje;mansarda;;36,1;22,7; bivalni prostor | prostor z omejeno uporabo;;
637439;2017;DOLENJI LOGATEC;LOGATEC;1168;1;;;1;LOGATEC;JAČKA;41;;;1;1961;1;;;196;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;196,1;75,7; bivalni prostor | garaža | klet | odprta terasa, balkon, loža;;
634057;397;HAJDINA;;1867;1;;;1;;;;;;13;2006;1;;;30;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;30;30; kmetijski prostor;;
638766;1737;TABOR;LJUBLJANA;1007;217;;;1;;;;;217;3;2004;1;;;13;1/1;;;;;;;;15 - Garaža;klet;;12,6;12,6; garaža;;
633297;1077;CELJE;CELJE;1430;2;;;1;CELJE;TRG CELJSKIH KNEZOV;4;;2;2;1931;1;;;44;1/1;;;;;;;;10 - Trgovski del stavbe;pritličje;;44;44; lokal, prodajalna;;
632996;181;APAČE;APAČE;319;3;;;1;APAČE;APAČE;45;;3;2;1800;1;;;62;1/1;;;;;;;;2 - Stanovanje;nadstropje;;61,7;61,7; bivalni prostor;;
636866;2640;HRASTNIK;HRASTNIK;296;1;;;1;;;;;;14;1900;1;;;77;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;drugo;;76,5;76,5; kmetijski prostor;;
632470;1728;LJUBLJANA MESTO;LJUBLJANA;280;6;;;1;LJUBLJANA;BREG;18;;6;2;1694;1;;;44;1/1;;;;;;;;2 - Stanovanje;nadstropje;;44,2;40,7; bivalni prostor | klet;;
638948;100;BOGOJINA;MORAVSKE TOPLICE;73;1;;;1;BOGOJINA;BOGOJINA;95;;2;14;1907;1;;;43;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;43,2;43,2; kmetijski prostor;;
635220;849;STARI TRG;SLOVENJ GRADEC;525;1;;;1;;;;;;13;1975;1;;;48;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;48;48; kmetijski prostor;;
634948;2636;BEŽIGRAD;LJUBLJANA;3873;45;;;1;;;;;45;3;2005;1;;;16;1/1;;;;;;;;16 - Garažno parkirno mesto;klet;;16,4;16,4; garažni parkirni prostor;;
636434;660;STUDENCI;MARIBOR;4797;208;;;1;;;;;;15;2022;1;;1;3,7;1/1;;;;;;;;33 - Klet;klet;;3,7;3,7; klet;;
641618;2631;PORTOROŽ;;6768;16;;;1;;;;;;3;2008;1;;;16;1/1;;;;;;;;16 - Garažno parkirno mesto;klet;;16,4;16,4; garažni parkirni prostor;;
637909;1838;LITIJA;LITIJA;1226;34;;;1;LITIJA;ULICA LUKE SVETCA;7;;34;2;2010;1;;;65;1/1;;;;;;;;2 - Stanovanje;nadstropje;;65,1;52,3; bivalni prostor | klet | odprta terasa, balkon, loža;;
634436;1075;OSTROŽNO;CELJE;2675;51;;;1;CELJE;NOVI TRG;19;;51;3;2006;1;;;12;1/1;;;;;;;;16 - Garažno parkirno mesto;pritličje;;12,2;12,2; garažni parkirni prostor;;
637158;2180;ŽIROVNICA;ŽIROVNICA;910;1;;;1;ŽIROVNICA;ŽIROVNICA;101;;;1;1970;1;;;294;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;294;188; bivalni prostor | garaža | klet | odprta terasa, balkon, loža;;
639818;850;SLOVENJ GRADEC;SLOVENJ GRADEC;2292;1;;;1;SLOVENJ GRADEC;OZARE;67;;1;2;2021;1;;1;68,8;1/1;;;;;;;;2 - Stanovanje;pritličje;;68,8;63,5; bivalni prostor | odprta terasa, balkon, loža;;
635181;1077;CELJE;CELJE;721;42;;;1;CELJE;BRODARJEVA ULICA;4;;42;2;1960;1;;;28;1/1;;;;;;;;2 - Stanovanje;nadstropje;;27,7;25,4; bivalni prostor | klet;;
641417;863;ŠENTILJ POD TURJAKOM;MISLINJA;165;1;;;1;MISLINJA;STRAŽE;3;;;1;1980;1;;;132;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;132;53; bivalni prostor | klet;;
640448;658;KOROŠKA VRATA;MARIBOR;241;8;;;1;MARIBOR;KOROŠKA CESTA;47;;7;1;1900;1;;;37;7/24;;;;;;;;2 - Stanovanje;nadstropje;;37,2;37,2; bivalni prostor;;
634072;660;STUDENCI;MARIBOR;4726;34;;;1;MARIBOR;STUDENŠKA ULICA;103;;34;2;2019;1;;;65;1/1;;;;;;;;2 - Stanovanje;nadstropje;;65,3;50,4; bivalni prostor | klet | odprta terasa, balkon, loža;;
633714;385;PODVINCI;PTUJ;541;1;;;1;PODVINCI;PODVINCI;53;C;;1;1996;0;6;;179;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;179,4;54,6; bivalni prostor | garaža | klet | odprta terasa, balkon, loža;;
